date,open,high,low,close,volume
20191211 003000,1.31899,1.32017,1.31538,1.31568,8471
20191211 013000,1.31568,1.31608,1.31077,1.31229,9768
20191211 023000,1.31229,1.31318,1.31127,1.31293,9689
20191211 033000,1.31293,1.3136,1.31273,1.31343,7603
20191211 043000,1.31343,1.31365,1.31301,1.31335,6958
20191211 053000,1.31335,1.31358,1.31294,1.31355,5185
20191211 063000,1.31355,1.31396,1.31327,1.31375,5373
20191211 073000,1.31375,1.31466,1.31368,1.3138,4324
20191211 083000,1.3138,1.31458,1.31365,1.31374,3285
20191211 093000,1.31374,1.31404,1.31309,1.31322,6665
20191211 103000,1.31322,1.31365,1.31135,1.31155,13224
20191211 113000,1.31155,1.31473,1.31117,1.31381,21024
20191211 123000,1.31381,1.31572,1.31357,1.31387,17820
20191211 133000,1.31387,1.31564,1.31379,1.31531,14459
20191211 143000,1.31531,1.31593,1.31465,1.31506,11621
20191211 153000,1.31506,1.31544,1.31415,1.31439,12840
20191211 163000,1.31439,1.31737,1.31438,1.31704,18697
20191211 173000,1.31704,1.31865,1.31678,1.31823,18210
20191211 183000,1.31823,1.31844,1.31712,1.31767,14949
20191211 193000,1.31767,1.31828,1.31723,1.31756,10415
20191211 203000,1.31756,1.31826,1.31702,1.31718,9606
20191211 213000,1.31718,1.31837,1.31697,1.31773,8450
20191211 223000,1.31773,1.32075,1.31683,1.32072,20388
20191211 233000,1.32072,1.32136,1.31976,1.32074,15016
20191212 003000,1.32074,1.32076,1.3191,1.31953,5389
20191212 013000,1.31953,1.32072,1.31936,1.31994,3413
20191212 023000,1.31994,1.32004,1.31941,1.31999,5928
20191212 033000,1.31999,1.32104,1.31995,1.32082,5442
20191212 043000,1.32082,1.32298,1.32037,1.32223,6097
20191212 053000,1.32223,1.32265,1.32183,1.32257,5099
20191212 063000,1.32257,1.32268,1.32208,1.32234,4201
20191212 073000,1.32234,1.32235,1.32173,1.32178,2709
20191212 083000,1.32178,1.32191,1.32094,1.321,3363
20191212 093000,1.321,1.32149,1.32058,1.32102,4316
20191212 103000,1.32102,1.3223,1.32096,1.32208,9680
20191212 113000,1.32208,1.32208,1.32019,1.32086,13440
20191212 123000,1.32086,1.32138,1.31836,1.31836,12276
20191212 133000,1.31836,1.31998,1.31811,1.31972,11942
20191212 143000,1.31972,1.31987,1.31505,1.31812,30157
20191212 153000,1.31812,1.31815,1.31603,1.3176,12756
20191212 163000,1.3176,1.31795,1.3116,1.31552,33454
20191212 173000,1.31552,1.31767,1.31465,1.31494,34178
20191212 183000,1.31494,1.31525,1.31097,1.31208,35267
20191212 193000,1.31208,1.31422,1.31155,1.31307,21590
20191212 203000,1.31307,1.31413,1.31062,1.31093,19364
20191212 213000,1.31093,1.3116,1.30506,1.30871,28610
20191212 223000,1.30871,1.31413,1.3067,1.3135,34855
20191212 233000,1.3135,1.31848,1.31315,1.3171,32487
20191213 003000,1.3171,1.31836,1.3151,1.31695,12781
20191213 013000,1.31695,1.35153,1.31695,1.34579,19578
20191213 023000,1.34579,1.34838,1.34514,1.34737,23343
20191213 033000,1.34737,1.34811,1.34491,1.34559,15073
20191213 043000,1.34559,1.34951,1.34521,1.34927,16231
20191213 053000,1.34927,1.35078,1.34741,1.34777,10720
20191213 063000,1.34777,1.34811,1.34474,1.3479,12490
20191213 073000,1.3479,1.34832,1.3454,1.34562,8970
20191213 083000,1.34562,1.34785,1.34562,1.34747,6579
20191213 093000,1.34747,1.348,1.34297,1.34485,13415
20191213 103000,1.34485,1.34565,1.34137,1.34166,39934
20191213 113000,1.34166,1.34298,1.33988,1.34048,31898
20191213 123000,1.34048,1.3421,1.33575,1.34157,34317
20191213 133000,1.34157,1.34188,1.33766,1.33926,24057
20191213 143000,1.33926,1.3404,1.33807,1.33884,19732
20191213 153000,1.33884,1.33951,1.33798,1.33885,16335
20191213 163000,1.33885,1.339,1.33129,1.33326,30557
20191213 173000,1.33326,1.33451,1.33057,1.33293,43033
20191213 183000,1.33293,1.33681,1.33059,1.33428,59937
20191213 193000,1.33428,1.33574,1.33152,1.33469,33357
20191213 203000,1.33469,1.335,1.33188,1.33218,19947
20191213 213000,1.33218,1.33357,1.33199,1.33317,13210
20191213 223000,1.33317,1.3341,1.33293,1.33388,13042
20191213 233000,1.33388,1.3345,1.33332,1.33434,12591
20191214 003000,1.33434,1.33452,1.33304,1.33325,6127
20191215 223000,1.33325,1.33382,1.33314,1.33351,7
20191215 233000,1.33351,1.33456,1.33351,1.33388,38
20191216 003000,1.33388,1.33452,1.33375,1.334,28
20191216 013000,1.334,1.33457,1.33375,1.33442,605
20191216 023000,1.33442,1.33551,1.33435,1.33537,12354
20191216 033000,1.33537,1.33589,1.33509,1.33579,6436
20191216 043000,1.33579,1.33638,1.33554,1.33635,4818
20191216 053000,1.33635,1.33907,1.33635,1.33876,8724
20191216 063000,1.33876,1.33988,1.33865,1.33904,7536
20191216 073000,1.33904,1.33925,1.33854,1.33866,3505
20191216 083000,1.33866,1.33935,1.33844,1.33886,3563
20191216 093000,1.33886,1.34224,1.33846,1.34181,8906
20191216 103000,1.34181,1.34187,1.3382,1.339,17172
20191216 113000,1.339,1.339,1.33582,1.33639,24340
20191216 123000,1.33639,1.33651,1.33232,1.33338,23293
20191216 133000,1.33338,1.33678,1.33327,1.33677,16091
20191216 143000,1.33677,1.33745,1.33579,1.33717,12628
20191216 153000,1.33717,1.33797,1.33611,1.33783,13423
20191216 163000,1.33783,1.33788,1.33298,1.33432,18551
20191216 173000,1.33432,1.33485,1.33246,1.33443,16158
20191216 183000,1.33443,1.33628,1.33291,1.33334,18255
20191216 193000,1.33334,1.33425,1.33252,1.3329,16901
20191216 203000,1.3329,1.33306,1.33215,1.33263,10089
20191216 213000,1.33263,1.33464,1.33211,1.33448,7428
20191216 223000,1.33448,1.33507,1.33357,1.33505,7897
20191216 233000,1.33505,1.33539,1.33444,1.33464,6259
20191217 003000,1.33464,1.33465,1.33308,1.33359,4565
20191217 013000,1.33359,1.33406,1.32653,1.32876,4559
20191217 023000,1.32876,1.32972,1.3236,1.32678,16849
20191217 033000,1.32678,1.32817,1.32632,1.32801,9882
20191217 043000,1.32801,1.32922,1.32742,1.32809,7370
20191217 053000,1.32809,1.32843,1.32751,1.32841,4071
20191217 063000,1.32841,1.32973,1.3284,1.32967,5999
20191217 073000,1.32967,1.32998,1.32925,1.32952,4002
20191217 083000,1.32952,1.3301,1.32837,1.32863,5402
20191217 093000,1.32863,1.32916,1.32589,1.32669,9129
20191217 103000,1.32669,1.32735,1.32501,1.32538,15671
20191217 113000,1.32538,1.32635,1.31615,1.3201,40683
20191217 123000,1.3201,1.32212,1.31553,1.31938,30614
20191217 133000,1.31938,1.32151,1.31849,1.32054,19890
20191217 143000,1.32054,1.32141,1.31947,1.32072,14210
20191217 153000,1.32072,1.32102,1.31807,1.31815,16822
20191217 163000,1.31815,1.31839,1.31319,1.31453,32242
20191217 173000,1.31453,1.31607,1.31367,1.31599,18373
20191217 183000,1.31599,1.31738,1.31344,1.31377,24096
20191217 193000,1.31377,1.31448,1.30996,1.31154,23875
20191217 203000,1.31154,1.31337,1.31058,1.31304,16849
20191217 213000,1.31304,1.31316,1.31144,1.31173,10186
20191217 223000,1.31173,1.31258,1.31111,1.31195,6998
20191217 233000,1.31195,1.31274,1.31162,1.31237,6716
20191218 003000,1.31237,1.31392,1.31213,1.31313,7898
20191218 013000,1.31313,1.31357,1.31219,1.31303,3672
20191218 023000,1.31303,1.31344,1.31185,1.31225,5247
20191218 033000,1.31225,1.31227,1.31059,1.31128,13936
20191218 043000,1.31128,1.31132,1.30898,1.30959,19448
20191218 053000,1.30959,1.30979,1.30727,1.30902,9961
20191218 063000,1.30902,1.31037,1.30889,1.31016,5470
20191218 073000,1.31016,1.31046,1.30889,1.30988,5890
20191218 083000,1.30988,1.31115,1.30935,1.31113,5487
20191218 093000,1.31113,1.31295,1.30928,1.31266,8633
20191218 103000,1.31266,1.31271,1.30831,1.30906,23959
20191218 113000,1.30906,1.31221,1.30771,1.30998,28286
20191218 123000,1.30998,1.31272,1.30921,1.31117,20952
20191218 133000,1.31117,1.31189,1.30927,1.30974,11976
20191218 143000,1.30974,1.31178,1.30914,1.30979,20361
20191218 153000,1.30979,1.31015,1.30793,1.30813,20197
20191218 163000,1.30813,1.30832,1.306,1.30796,23454
20191218 173000,1.30796,1.30897,1.30698,1.30718,19792
20191218 183000,1.30718,1.30887,1.30605,1.30734,23573
20191218 193000,1.30734,1.30804,1.30625,1.30765,21590
20191218 203000,1.30765,1.3085,1.30702,1.30832,13885
20191218 213000,1.30832,1.30863,1.30711,1.30725,9488
20191218 223000,1.30725,1.30887,1.30725,1.30846,10588
20191218 233000,1.30846,1.30886,1.30797,1.30869,6654
20191219 003000,1.30869,1.30872,1.30773,1.30792,3438
20191219 013000,1.30792,1.30879,1.3072,1.30815,2822
20191219 023000,1.30815,1.30883,1.30801,1.30847,6025
20191219 033000,1.30847,1.30857,1.30775,1.30825,5596
20191219 043000,1.30825,1.30888,1.30806,1.30866,4989
20191219 053000,1.30866,1.30908,1.30805,1.30815,3367
20191219 063000,1.30815,1.30895,1.30798,1.30864,2726
20191219 073000,1.30864,1.30864,1.30798,1.30812,4671
20191219 083000,1.30812,1.30859,1.30792,1.30841,3474
20191219 093000,1.30841,1.30951,1.30768,1.30947,3696
20191219 103000,1.30947,1.31205,1.30923,1.31135,11545
20191219 113000,1.31135,1.31278,1.3098,1.31006,16943
20191219 123000,1.31006,1.31122,1.30845,1.31061,16599
20191219 133000,1.31061,1.31147,1.30942,1.31046,13125
20191219 143000,1.31046,1.31071,1.30508,1.30676,18047
20191219 153000,1.30676,1.31333,1.30626,1.30791,35564
20191219 163000,1.30791,1.30853,1.30235,1.30591,33008
20191219 173000,1.30591,1.30662,1.30349,1.30382,21387
20191219 183000,1.30382,1.30413,1.30069,1.3027,35556
20191219 193000,1.3027,1.30392,1.299,1.30333,28414
20191219 203000,1.30333,1.30422,1.30254,1.30393,16574
20191219 213000,1.30393,1.30403,1.30178,1.30229,11827
20191219 223000,1.30229,1.30247,1.30061,1.30124,10725
20191219 233000,1.30124,1.30236,1.30116,1.30127,9006
20191220 003000,1.30127,1.30155,1.29967,1.30097,4708
20191220 013000,1.30097,1.30127,1.30068,1.30077,1307
20191220 023000,1.30077,1.30182,1.30075,1.30175,4720
20191220 033000,1.30175,1.30185,1.30072,1.30096,4183
20191220 043000,1.30096,1.30208,1.30089,1.30204,5522
20191220 053000,1.30204,1.30213,1.30173,1.30196,2370
20191220 063000,1.30196,1.30229,1.30184,1.30224,3243
20191220 073000,1.30224,1.30289,1.30181,1.30212,3122
20191220 083000,1.30212,1.30249,1.30196,1.302,2769
20191220 093000,1.302,1.30272,1.30133,1.30258,4149
20191220 103000,1.30258,1.30374,1.30109,1.30146,10544
20191220 113000,1.30146,1.30358,1.30119,1.30357,12974
20191220 123000,1.30357,1.30476,1.30247,1.30405,12985
20191220 133000,1.30405,1.30486,1.30363,1.30466,10088
20191220 143000,1.30466,1.30491,1.30171,1.30206,16229
20191220 153000,1.30206,1.3033,1.30168,1.30303,10244
20191220 163000,1.30303,1.30576,1.30249,1.30556,15421
20191220 173000,1.30556,1.30577,1.30322,1.3037,16650
20191220 183000,1.3037,1.30797,1.30352,1.30487,22735
20191220 193000,1.30487,1.30572,1.30314,1.30348,15329
20191220 203000,1.30348,1.30423,1.30198,1.30215,11971
20191220 213000,1.30215,1.30252,1.30056,1.30108,11717
20191220 223000,1.30108,1.30198,1.30082,1.3015,9281
20191220 233000,1.3015,1.30167,1.30033,1.30046,10130
20191221 003000,1.30046,1.30075,1.29787,1.30002,7823
20191222 223000,1.30002,1.30005,1.29993,1.29996,1
20191222 233000,1.29996,1.30121,1.29986,1.29994,24
20191223 003000,1.29994,1.3011,1.29942,1.30019,112
20191223 013000,1.30019,1.30054,1.29901,1.29988,1620
20191223 023000,1.29988,1.30143,1.29932,1.30059,5172
20191223 033000,1.30059,1.30099,1.30022,1.30054,5665
20191223 043000,1.30054,1.30147,1.30038,1.3013,5340
20191223 053000,1.3013,1.30143,1.30054,1.30106,2980
20191223 063000,1.30106,1.30166,1.30085,1.30105,3636
20191223 073000,1.30105,1.30134,1.3009,1.3009,2061
20191223 083000,1.3009,1.30146,1.30082,1.30138,2700
20191223 093000,1.30138,1.30246,1.30128,1.30173,5678
20191223 103000,1.30173,1.30206,1.30049,1.30187,9459
20191223 113000,1.30187,1.30321,1.30143,1.3025,13126
20191223 123000,1.3025,1.30251,1.30097,1.30099,10178
20191223 133000,1.30099,1.30125,1.29663,1.29773,18425
20191223 143000,1.29773,1.29838,1.29672,1.29817,13270
20191223 153000,1.29817,1.29828,1.29282,1.29356,24410
20191223 163000,1.29356,1.29356,1.29049,1.29245,21563
20191223 173000,1.29245,1.29416,1.29185,1.29352,17839
20191223 183000,1.29352,1.29592,1.29179,1.29244,24150
20191223 193000,1.29244,1.29309,1.29094,1.29155,16166
20191223 203000,1.29155,1.29373,1.29113,1.29342,14090
20191223 213000,1.29342,1.29376,1.29228,1.29323,8081
20191223 223000,1.29323,1.2941,1.29317,1.2939,6924
20191223 233000,1.2939,1.29469,1.29361,1.2943,6529
20191224 003000,1.2943,1.2943,1.29338,1.29363,4604
20191224 013000,1.29363,1.29457,1.29333,1.29392,1381
20191224 023000,1.29392,1.29459,1.29374,1.29436,5691
20191224 033000,1.29436,1.29475,1.29388,1.29432,4827
20191224 043000,1.29432,1.2945,1.29377,1.29391,5102
20191224 053000,1.29391,1.29464,1.29369,1.29458,4055
20191224 063000,1.29458,1.29471,1.29434,1.29445,6183
20191224 073000,1.29445,1.2947,1.29376,1.29437,3227
20191224 083000,1.29437,1.29468,1.29395,1.29415,4416
20191224 093000,1.29415,1.29458,1.29394,1.29419,4708
20191224 103000,1.29419,1.29475,1.2922,1.29261,8590
20191224 113000,1.29261,1.29435,1.29224,1.29335,13123
20191224 123000,1.29335,1.29366,1.29254,1.29295,12193
20191224 133000,1.29295,1.29422,1.29272,1.294,11096
20191224 143000,1.294,1.29581,1.29342,1.29474,15945
20191224 153000,1.29474,1.29629,1.2941,1.29542,12810
20191224 163000,1.29542,1.29589,1.29447,1.29467,11967
20191224 173000,1.29467,1.29569,1.29466,1.29554,8958
20191224 183000,1.29554,1.29634,1.29506,1.2963,11770
20191224 193000,1.2963,1.29683,1.29527,1.29536,9129
20191224 203000,1.29536,1.29712,1.29525,1.29671,9029
20191224 213000,1.29671,1.29684,1.29541,1.29585,6519
